dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
RacketSports,1d_conv_circular_conv_sinusoidal,0.8380 ± 0.0100,0.8380,0.0149,0.0100,8,10
RacketSports,1d_conv_circular_conv_split_sinusoidal,0.7705 ± 0.1154,0.7705,0.1723,0.1154,8,10
RacketSports,1d_conv_component_wise_sinusoidal,0.8322 ± 0.0103,0.8322,0.0153,0.0103,8,10
RacketSports,linear_additive_sinusoidal,0.5132 ± 0.1622,0.5132,0.2422,0.1622,8,10
RacketSports,linear_additive_split_sinusoidal,0.6760 ± 0.1271,0.6760,0.1897,0.1271,8,10
RacketSports,linear_circular_conv_sinusoidal,0.8438 ± 0.0145,0.8438,0.0216,0.0145,8,10
RacketSports,linear_component_wise_sinusoidal,0.8446 ± 0.0147,0.8446,0.0219,0.0147,8,10
RacketSports,linear_component_wise_split_sinusoidal,0.8380 ± 0.0115,0.8380,0.0172,0.0115,8,10
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.6754 ± 0.0610,0.6754,0.0911,0.0610,8,10
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.8097 ± 0.0126,0.8097,0.0188,0.0126,8,10
SelfRegulationSCP1,1d_conv_circular_conv_split_sinusoidal,0.8102 ± 0.0216,0.8102,0.0322,0.0216,8,10
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.7986 ± 0.0181,0.7986,0.0271,0.0181,8,10
SelfRegulationSCP1,linear_additive_sinusoidal,0.8033 ± 0.0356,0.8033,0.0531,0.0356,8,10
SelfRegulationSCP1,linear_additive_split_sinusoidal,0.7782 ± 0.0400,0.7782,0.0597,0.0400,8,10
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.7935 ± 0.0319,0.7935,0.0476,0.0319,8,10
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.7794 ± 0.0169,0.7794,0.0252,0.0169,8,10
SelfRegulationSCP1,linear_component_wise_split_sinusoidal,0.7811 ± 0.0266,0.7811,0.0397,0.0266,8,10
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.5167 ± 0.0195,0.5167,0.0291,0.0195,8,10
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5264 ± 0.0187,0.5264,0.0280,0.0187,8,10
SelfRegulationSCP2,1d_conv_circular_conv_split_sinusoidal,0.5346 ± 0.0115,0.5346,0.0186,0.0115,9,10
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.5278 ± 0.0084,0.5278,0.0126,0.0084,8,10
SelfRegulationSCP2,linear_additive_sinusoidal,0.5327 ± 0.0073,0.5327,0.0109,0.0073,8,10
SelfRegulationSCP2,linear_additive_split_sinusoidal,0.5424 ± 0.0063,0.5424,0.0094,0.0063,8,10
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5188 ± 0.0126,0.5188,0.0188,0.0126,8,10
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5179 ± 0.0117,0.5179,0.0188,0.0117,9,10
