dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ERing,linear_conv_random_pe,24,65,6,0.8278,0.0277,10,0.0198,0.8278 ± 0.0198
ERing,linear_conv_sinusoidal,24,65,6,0.8796,0.0334,10,0.0239,0.8796 ± 0.0239
ERing,linear_no_pe,24,65,6,0.6626,0.0347,9,0.0267,0.6626 ± 0.0267
Epilepsy,linear_conv_0_8_gaussian_fpe,109,206,4,0.8615,0.0128,9,0.0098,0.8615 ± 0.0098
Epilepsy,linear_conv_1_sinc_fpe,109,206,4,0.8638,0.0299,10,0.0214,0.8638 ± 0.0214
Epilepsy,linear_conv_2_sinc_fpe,109,206,4,0.8609,0.0269,10,0.0192,0.8609 ± 0.0192
Epilepsy,linear_conv_5_sinc_fpe,109,206,4,0.8527,0.0195,9,0.0150,0.8527 ± 0.0150
Epilepsy,linear_conv_learnable_random_pe,109,206,4,0.6732,0.0247,10,0.0177,0.6732 ± 0.0177
Epilepsy,linear_conv_learnable_sinusoidal,109,206,4,0.8217,0.0306,10,0.0219,0.8217 ± 0.0219
Epilepsy,linear_conv_random_pe,109,206,4,0.6927,0.0474,10,0.0339,0.6927 ± 0.0339
Epilepsy,linear_conv_sinusoidal,109,206,4,0.8499,0.0108,7,0.0100,0.8499 ± 0.0100
Epilepsy,linear_no_pe,109,206,4,0.8362,0.0338,10,0.0242,0.8362 ± 0.0242
EthanolConcentration,linear_conv_0_8_gaussian_fpe,208,1751,4,0.2705,0.0137,8,0.0115,0.2705 ± 0.0115
EthanolConcentration,linear_conv_1_sinc_fpe,208,1751,4,0.2658,0.0192,10,0.0137,0.2658 ± 0.0137
EthanolConcentration,linear_conv_2_sinc_fpe,208,1751,4,0.2684,0.0197,10,0.0141,0.2684 ± 0.0141
EthanolConcentration,linear_conv_5_sinc_fpe,208,1751,4,0.2662,0.0101,9,0.0077,0.2662 ± 0.0077
EthanolConcentration,linear_conv_learnable_random_pe,208,1751,4,0.2612,0.0183,10,0.0131,0.2612 ± 0.0131
EthanolConcentration,linear_conv_learnable_sinusoidal,208,1751,4,0.2563,0.0237,10,0.0169,0.2563 ± 0.0169
EthanolConcentration,linear_conv_random_pe,208,1751,4,0.2674,0.0114,9,0.0088,0.2674 ± 0.0088
EthanolConcentration,linear_conv_sinusoidal,208,1751,4,0.2547,0.0155,10,0.0111,0.2547 ± 0.0111
EthanolConcentration,linear_no_pe,208,1751,4,0.2373,0.0211,10,0.0151,0.2373 ± 0.0151
