dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_original
NATOPS,1d_conv_circular_conv_sinusoidal,0.4514 ± 0.4185,0.4514,0.3557,0.4185,4,5
NATOPS,1d_conv_component_wise_sinusoidal,0.4482 ± 0.5967,0.4482,0.3539,0.5967,3,5
NATOPS,linear_additive_isolated_sinusoidal,0.5278 ± 0.4663,0.5278,0.2766,0.4663,3,5
NATOPS,linear_additive_sinusoidal,0.7982 ± 0.0109,0.7982,0.0064,0.0109,3,5
NATOPS,linear_circular_conv_sinusoidal,0.8630 ± 0.0195,0.8630,0.0116,0.0195,3,5
NATOPS,linear_component_wise_sinusoidal,0.4000 ± 0.7218,0.4000,0.4282,0.7218,3,5
PEMS-SF,1d_conv_additive_sinusoidal,0.0848 ± 0.0313,0.0848,0.0186,0.0313,3,5
PEMS-SF,1d_conv_circular_conv_isolated_sinusoidal,0.5029 ± 0.4981,0.5029,0.2954,0.4981,3,5
PEMS-SF,1d_conv_circular_conv_sinusoidal,0.7187 ± 0.0343,0.7187,0.0203,0.0343,3,5
PEMS-SF,1d_conv_component_wise_sinusoidal,0.3526 ± 0.5689,0.3526,0.3375,0.5689,3,5
PEMS-SF,linear_additive_isolated_sinusoidal,0.1041 ± 0.0608,0.1041,0.0361,0.0608,3,5
PEMS-SF,linear_additive_sinusoidal,0.3006 ± 0.5159,0.3006,0.3060,0.5159,3,5
PEMS-SF,linear_circular_conv_sinusoidal,0.6763 ± 0.0079,0.6763,0.0067,0.0079,4,5
PEMS-SF,linear_component_wise_sinusoidal,0.7384 ± 0.0268,0.7384,0.0228,0.0268,4,5
PenDigits,1d_conv_additive_sinusoidal,0.5570 ± 0.3023,0.5570,0.4513,0.3023,8,10
PenDigits,1d_conv_circular_conv_isolated_sinusoidal,0.9779 ± 0.0019,0.9779,0.0028,0.0019,8,10
PenDigits,1d_conv_circular_conv_sinusoidal,0.9777 ± 0.0023,0.9777,0.0034,0.0023,8,10
PenDigits,1d_conv_component_wise_sinusoidal,0.9840 ± 0.0010,0.9840,0.0017,0.0010,9,10
PenDigits,linear_additive_isolated_sinusoidal,0.9608 ± 0.0026,0.9608,0.0038,0.0026,8,10
PenDigits,linear_additive_sinusoidal,0.9575 ± 0.0037,0.9575,0.0056,0.0037,8,10
PenDigits,linear_circular_conv_sinusoidal,0.9426 ± 0.0022,0.9426,0.0033,0.0022,8,10
PenDigits,linear_component_wise_sinusoidal,0.9564 ± 0.0026,0.9564,0.0038,0.0026,8,10
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0450 ± 0.0542,0.0450,0.0322,0.0542,3,5
PhonemeSpectra,1d_conv_circular_conv_isolated_sinusoidal,0.1588 ± 0.0062,0.1588,0.0037,0.0062,3,5
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1558 ± 0.0077,0.1558,0.0045,0.0077,3,5
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1565 ± 0.0013,0.1565,0.0008,0.0013,3,5
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.0268 ± 0.0141,0.0268,0.0120,0.0141,4,5
PhonemeSpectra,linear_additive_sinusoidal,0.0978 ± 0.0084,0.0978,0.0050,0.0084,3,5
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0733 ± 0.0016,0.0733,0.0009,0.0016,3,5
PhonemeSpectra,linear_component_wise_sinusoidal,0.0696 ± 0.0038,0.0696,0.0023,0.0038,3,5
RacketSports,1d_conv_additive_sinusoidal,0.2522 ± 0.0817,0.2522,0.0485,0.0817,3,5
RacketSports,1d_conv_circular_conv_isolated_sinusoidal,0.8339 ± 0.0713,0.8339,0.0606,0.0713,4,5
RacketSports,1d_conv_circular_conv_sinusoidal,0.8487 ± 0.0384,0.8487,0.0228,0.0384,3,5
RacketSports,1d_conv_component_wise_sinusoidal,0.4583 ± 0.5324,0.4583,0.3158,0.5324,3,5
RacketSports,linear_additive_isolated_sinusoidal,0.3114 ± 0.1665,0.3114,0.0988,0.1665,3,5
RacketSports,linear_additive_sinusoidal,0.3158 ± 0.1058,0.3158,0.0628,0.1058,3,5
RacketSports,linear_circular_conv_sinusoidal,0.8224 ± 0.0384,0.8224,0.0228,0.0384,3,5
RacketSports,linear_component_wise_sinusoidal,0.6645 ± 0.4340,0.6645,0.2574,0.4340,3,5
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.7008 ± 0.1533,0.7008,0.0909,0.1533,3,5
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.7133 ± 0.1960,0.7133,0.1163,0.1960,3,5
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.7042 ± 0.3002,0.7042,0.1780,0.3002,3,5
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.7088 ± 0.2725,0.7088,0.1616,0.2725,3,5
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.7212 ± 0.1198,0.7212,0.0710,0.1198,3,5
SelfRegulationSCP1,linear_additive_sinusoidal,0.7293 ± 0.0809,0.7293,0.0480,0.0809,3,5
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.6997 ± 0.2895,0.6997,0.1718,0.2895,3,5
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.8242 ± 0.0175,0.8242,0.0149,0.0175,4,5
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.4778 ± 0.0094,0.4778,0.0056,0.0094,3,5
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5185 ± 0.0329,0.5185,0.0195,0.0329,3,5
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5430 ± 0.0124,0.5430,0.0105,0.0124,4,5
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.5278 ± 0.0342,0.5278,0.0290,0.0342,4,5
