dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
PenDigits,linear_conv_learnable_random_pe,3,0.0438,0.9828,0.0898,0.9793,0.1496,0.9589,0.1861,2,10,8,5995,3498,1499,63,87.97
PenDigits,linear_conv_sinusoidal,3,0.144,0.9508,0.1084,0.9673,0.198,0.9448,0.1861,2,10,8,5995,3498,1499,60,83.6
PenDigits,linear_conv_learnable_sinusoidal,3,0.0642,0.98,0.0847,0.9786,0.1781,0.9557,0.1861,2,10,8,5995,3498,1499,54,81.53
PenDigits,linear_no_pe,4,0.321,0.8984,0.261,0.9273,0.3449,0.9,0.1849,2,10,8,5995,3498,1499,64,88.67
PenDigits,linear_conv_random_pe,4,0.0513,0.983,0.082,0.9806,0.1507,0.9571,0.1861,2,10,8,5995,3498,1499,61,85.05
PenDigits,linear_conv_learnable_random_pe,4,0.0462,0.9842,0.0811,0.9806,0.1534,0.9588,0.1861,2,10,8,5995,3498,1499,62,80.45
PenDigits,linear_conv_sinusoidal,4,0.1686,0.9404,0.1172,0.9653,0.2364,0.9257,0.1861,2,10,8,5995,3498,1499,54,81.18
PenDigits,linear_conv_learnable_sinusoidal,4,0.0601,0.9786,0.0807,0.9806,0.226,0.9474,0.1861,2,10,8,5995,3498,1499,58,83.29
PenDigits,linear_no_pe,5,0.3088,0.8986,0.2516,0.9312,0.2732,0.9159,0.1849,2,10,8,5995,3498,1499,71,90.56
PenDigits,linear_conv_random_pe,5,0.0533,0.9821,0.0843,0.9806,0.1632,0.9583,0.1861,2,10,8,5995,3498,1499,56,83.07
PenDigits,linear_conv_learnable_random_pe,5,0.0525,0.9833,0.0753,0.9813,0.1386,0.9631,0.1861,2,10,8,5995,3498,1499,61,87.1
PenDigits,linear_conv_sinusoidal,5,0.1427,0.9506,0.1057,0.9733,0.1969,0.9448,0.1861,2,10,8,5995,3498,1499,64,88.69
PenDigits,linear_conv_learnable_sinusoidal,5,0.0523,0.9845,0.0742,0.9827,0.1761,0.9611,0.1861,2,10,8,5995,3498,1499,73,93.96
PenDigits,linear_no_pe,6,0.2335,0.9229,0.2212,0.932,0.2598,0.9179,0.1849,2,10,8,5995,3498,1499,100,116.33
PenDigits,linear_conv_random_pe,6,0.0629,0.9783,0.0827,0.984,0.1725,0.954,0.1861,2,10,8,5995,3498,1499,60,85.67
PenDigits,linear_conv_learnable_random_pe,6,0.0435,0.9855,0.0775,0.9827,0.1676,0.9554,0.1861,2,10,8,5995,3498,1499,63,87.86
PenDigits,linear_conv_sinusoidal,6,0.1192,0.9608,0.108,0.9713,0.1802,0.9494,0.1861,2,10,8,5995,3498,1499,63,88.95
PenDigits,linear_conv_learnable_sinusoidal,6,0.0633,0.98,0.0736,0.9786,0.1686,0.9583,0.1861,2,10,8,5995,3498,1499,70,94.57
PenDigits,linear_no_pe,7,0.2401,0.9161,0.2239,0.9386,0.2633,0.9177,0.1849,2,10,8,5995,3498,1499,100,115.66
PenDigits,linear_conv_random_pe,7,0.0663,0.9783,0.0945,0.9773,0.1499,0.9594,0.1861,2,10,8,5995,3498,1499,49,76.71
PenDigits,linear_conv_learnable_random_pe,7,0.066,0.9773,0.0891,0.9793,0.1548,0.9591,0.1861,2,10,8,5995,3498,1499,51,77.81
PenDigits,linear_conv_sinusoidal,7,0.1357,0.9548,0.118,0.966,0.2318,0.9365,0.1861,2,10,8,5995,3498,1499,68,92.64
PenDigits,linear_conv_learnable_sinusoidal,7,0.0634,0.9802,0.0796,0.978,0.1371,0.96,0.1861,2,10,8,5995,3498,1499,62,86.73
PenDigits,linear_no_pe,8,0.2907,0.9016,0.2512,0.9286,0.327,0.8951,0.1849,2,10,8,5995,3498,1499,81,101.31
PenDigits,linear_conv_random_pe,8,0.0689,0.9786,0.0825,0.982,0.1751,0.952,0.1861,2,10,8,5995,3498,1499,64,86.44
PenDigits,linear_conv_learnable_random_pe,8,0.0436,0.9853,0.075,0.9827,0.1714,0.9603,0.1861,2,10,8,5995,3498,1499,70,93.55
PenDigits,linear_conv_sinusoidal,8,0.1239,0.9576,0.1081,0.9653,0.2384,0.9403,0.1861,2,10,8,5995,3498,1499,60,89.55
PenDigits,linear_conv_learnable_sinusoidal,8,0.0514,0.9828,0.0774,0.9807,0.159,0.9629,0.1861,2,10,8,5995,3498,1499,69,92.1
PenDigits,linear_no_pe,9,0.3055,0.8939,0.2352,0.9306,0.3021,0.9068,0.1849,2,10,8,5995,3498,1499,82,98.63
PenDigits,linear_conv_random_pe,9,0.0396,0.9872,0.0807,0.984,0.1544,0.966,0.1861,2,10,8,5995,3498,1499,80,104.9
PenDigits,linear_conv_learnable_random_pe,9,0.0517,0.9842,0.0791,0.9813,0.1357,0.9625,0.1861,2,10,8,5995,3498,1499,57,84.6
PenDigits,linear_conv_sinusoidal,9,0.0913,0.9695,0.1071,0.9733,0.1585,0.9497,0.1861,2,10,8,5995,3498,1499,89,108.48
PenDigits,linear_conv_learnable_sinusoidal,9,0.0549,0.9826,0.0806,0.9827,0.175,0.9571,0.1861,2,10,8,5995,3498,1499,71,92.12
PenDigits,linear_no_pe,10,0.2489,0.9156,0.2247,0.9367,0.3006,0.9108,0.1849,2,10,8,5995,3498,1499,100,115.27
PenDigits,linear_conv_random_pe,10,0.0635,0.9813,0.0811,0.9813,0.1339,0.9608,0.1861,2,10,8,5995,3498,1499,58,84.6
PenDigits,linear_conv_learnable_random_pe,10,0.0577,0.9818,0.0922,0.978,0.1662,0.954,0.1861,2,10,8,5995,3498,1499,49,76.79
PenDigits,linear_conv_sinusoidal,10,0.0887,0.97,0.0825,0.9793,0.1928,0.9466,0.1861,2,10,8,5995,3498,1499,89,110.39
PenDigits,linear_conv_learnable_sinusoidal,10,0.0969,0.9682,0.0977,0.972,0.1995,0.9497,0.1861,2,10,8,5995,3498,1499,42,71.35
SpokenArabicDigits,linear_no_pe,1,0.0579,0.9835,0.1079,0.9689,0.3877,0.8959,0.213,13,10,93,5279,2199,1320,57,89.85
SpokenArabicDigits,linear_conv_random_pe,1,0.0542,0.9816,0.0869,0.9773,0.0734,0.9755,0.2141,13,10,93,5279,2199,1320,72,105.51
SpokenArabicDigits,linear_conv_learnable_random_pe,1,0.0101,0.9983,0.046,0.9879,0.0831,0.9754,0.2141,13,10,93,5279,2199,1320,46,81.92
SpokenArabicDigits,linear_conv_sinusoidal,1,0.0196,0.9951,0.0474,0.9902,0.132,0.9627,0.2142,13,10,93,5279,2199,1320,63,99.71
SpokenArabicDigits,linear_conv_learnable_sinusoidal,1,0.0132,0.9979,0.0372,0.9909,0.0721,0.9768,0.2142,13,10,93,5279,2199,1320,52,90.9
SpokenArabicDigits,linear_no_pe,2,0.0336,0.9902,0.0701,0.9826,0.3104,0.914,0.213,13,10,93,5279,2199,1320,67,99.39
SpokenArabicDigits,linear_conv_random_pe,2,0.0496,0.9864,0.1016,0.9712,0.0929,0.9686,0.2141,13,10,93,5279,2199,1320,81,118.36
SpokenArabicDigits,linear_conv_learnable_random_pe,2,0.004,0.9994,0.0394,0.9902,0.0793,0.9773,0.2141,13,10,93,5279,2199,1320,68,102.06
SpokenArabicDigits,linear_conv_sinusoidal,2,0.0187,0.9951,0.0313,0.9901,0.0972,0.9691,0.2142,13,10,93,5279,2199,1320,65,102.3
SpokenArabicDigits,linear_conv_learnable_sinusoidal,2,0.0096,0.9985,0.0476,0.9871,0.0734,0.9809,0.2142,13,10,93,5279,2199,1320,57,92.42
SpokenArabicDigits,linear_no_pe,3,0.0572,0.9835,0.1256,0.9674,0.2717,0.925,0.213,13,10,93,5279,2199,1320,55,89.34
SpokenArabicDigits,linear_conv_random_pe,3,0.0832,0.9729,0.0794,0.978,0.0906,0.9723,0.2141,13,10,93,5279,2199,1320,55,92.99
SpokenArabicDigits,linear_conv_learnable_random_pe,3,0.0063,0.9988,0.0451,0.9909,0.0742,0.9777,0.2141,13,10,93,5279,2199,1320,51,88.33
SpokenArabicDigits,linear_conv_sinusoidal,3,0.0189,0.9958,0.0447,0.9879,0.081,0.975,0.2142,13,10,93,5279,2199,1320,70,102.5
SpokenArabicDigits,linear_conv_learnable_sinusoidal,3,0.0051,0.9994,0.046,0.9887,0.0769,0.9741,0.2142,13,10,93,5279,2199,1320,71,107.25
SpokenArabicDigits,linear_no_pe,4,0.0367,0.9904,0.1228,0.9682,0.2435,0.9264,0.213,13,10,93,5279,2199,1320,79,109.62
SpokenArabicDigits,linear_conv_random_pe,4,0.0398,0.9863,0.0544,0.9849,0.077,0.9745,0.2141,13,10,93,5279,2199,1320,80,116.59
SpokenArabicDigits,linear_conv_learnable_random_pe,4,0.0106,0.9987,0.0456,0.9909,0.0847,0.9736,0.2141,13,10,93,5279,2199,1320,53,89.68
SpokenArabicDigits,linear_conv_sinusoidal,4,0.0068,0.9992,0.0445,0.9909,0.1156,0.9682,0.2142,13,10,93,5279,2199,1320,92,128.38
SpokenArabicDigits,linear_conv_learnable_sinusoidal,4,0.008,0.999,0.0553,0.9894,0.0852,0.975,0.2142,13,10,93,5279,2199,1320,58,93.01
SpokenArabicDigits,linear_no_pe,5,0.0191,0.9962,0.0826,0.9803,0.2103,0.9377,0.213,13,10,93,5279,2199,1320,96,126.27
SpokenArabicDigits,linear_conv_random_pe,5,0.0713,0.9786,0.0682,0.978,0.0908,0.9677,0.2141,13,10,93,5279,2199,1320,64,99.14
SpokenArabicDigits,linear_conv_learnable_random_pe,5,0.0256,0.9964,0.0701,0.9826,0.0855,0.9736,0.2141,13,10,93,5279,2199,1320,38,74.96
SpokenArabicDigits,linear_conv_sinusoidal,5,0.0146,0.996,0.0399,0.9886,0.0434,0.9841,0.2142,13,10,93,5279,2199,1320,73,107.11
SpokenArabicDigits,linear_conv_learnable_sinusoidal,5,0.0056,0.999,0.0336,0.9901,0.0694,0.975,0.2142,13,10,93,5279,2199,1320,72,106.32
SpokenArabicDigits,linear_no_pe,6,0.0163,0.9958,0.0682,0.9811,0.3013,0.9245,0.213,13,10,93,5279,2199,1320,100,129.42
SpokenArabicDigits,linear_conv_random_pe,6,0.0327,0.9894,0.0604,0.9841,0.1128,0.975,0.2141,13,10,93,5279,2199,1320,100,131.72
SpokenArabicDigits,linear_conv_learnable_random_pe,6,0.0066,0.9983,0.0388,0.9879,0.0724,0.9778,0.2141,13,10,93,5279,2199,1320,64,100.43
SpokenArabicDigits,linear_conv_sinusoidal,6,0.0344,0.9896,0.0575,0.9864,0.0798,0.9727,0.2142,13,10,93,5279,2199,1320,64,100.99
SpokenArabicDigits,linear_conv_learnable_sinusoidal,6,0.0161,0.9964,0.0419,0.9909,0.0819,0.9704,0.2142,13,10,93,5279,2199,1320,49,84.06
SpokenArabicDigits,linear_no_pe,7,0.0409,0.9896,0.0682,0.9803,0.2267,0.9295,0.213,13,10,93,5279,2199,1320,78,110.11
SpokenArabicDigits,linear_conv_random_pe,7,0.0509,0.9854,0.0622,0.9834,0.1048,0.9632,0.2141,13,10,93,5279,2199,1320,83,118.59
