dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
MotorImagery,linear_circular_conv_sinusoidal,0.5175 ± 0.0297,0.5175,0.0443,0.0297,8,10
MotorImagery,linear_component_wise_sinusoidal,0.4962 ± 0.0212,0.4962,0.0316,0.0212,8,10
NATOPS,1d_conv_additive_sinusoidal,0.3049 ± 0.1674,0.3049,0.2499,0.1674,8,10
NATOPS,1d_conv_circular_conv_isolated_sinusoidal,0.8632 ± 0.0280,0.8632,0.0419,0.0280,8,10
NATOPS,1d_conv_circular_conv_sinusoidal,0.8692 ± 0.0172,0.8692,0.0278,0.0172,9,10
NATOPS,1d_conv_component_wise_sinusoidal,0.8910 ± 0.0089,0.8910,0.0133,0.0089,8,10
NATOPS,linear_additive_isolated_sinusoidal,0.3903 ± 0.2058,0.3903,0.3072,0.2058,8,10
NATOPS,linear_additive_sinusoidal,0.4306 ± 0.2002,0.4306,0.2988,0.2002,8,10
NATOPS,linear_circular_conv_sinusoidal,0.8764 ± 0.0196,0.8764,0.0293,0.0196,8,10
NATOPS,linear_component_wise_sinusoidal,0.6979 ± 0.2195,0.6979,0.3277,0.2195,8,10
PEMS-SF,1d_conv_additive_sinusoidal,0.1445 ± 0.0333,0.1445,0.0497,0.0333,8,10
PEMS-SF,1d_conv_circular_conv_isolated_sinusoidal,0.7508 ± 0.0180,0.7508,0.0291,0.0180,9,10
PEMS-SF,1d_conv_circular_conv_sinusoidal,0.7312 ± 0.0303,0.7312,0.0453,0.0303,8,10
PEMS-SF,1d_conv_component_wise_sinusoidal,0.5925 ± 0.1809,0.5925,0.2701,0.1809,8,10
PEMS-SF,linear_additive_isolated_sinusoidal,0.1467 ± 0.0298,0.1467,0.0444,0.0298,8,10
PEMS-SF,linear_additive_sinusoidal,0.1358 ± 0.0289,0.1358,0.0431,0.0289,8,10
PEMS-SF,linear_circular_conv_sinusoidal,0.7269 ± 0.0173,0.7269,0.0258,0.0173,8,10
PEMS-SF,linear_component_wise_sinusoidal,0.7384 ± 0.0065,0.7384,0.0096,0.0065,8,10
PenDigits,1d_conv_additive_sinusoidal,0.6516 ± 0.3019,0.6516,0.4507,0.3019,8,10
PenDigits,1d_conv_circular_conv_isolated_sinusoidal,0.9800 ± 0.0015,0.9800,0.0022,0.0015,8,10
PenDigits,1d_conv_circular_conv_sinusoidal,0.9814 ± 0.0018,0.9814,0.0028,0.0018,8,10
PenDigits,1d_conv_component_wise_sinusoidal,0.9851 ± 0.0009,0.9851,0.0013,0.0009,8,10
PenDigits,linear_additive_isolated_sinusoidal,0.9697 ± 0.0018,0.9697,0.0027,0.0018,8,10
PenDigits,linear_additive_sinusoidal,0.9724 ± 0.0017,0.9724,0.0025,0.0017,8,10
PenDigits,linear_circular_conv_sinusoidal,0.9448 ± 0.0030,0.9448,0.0044,0.0030,8,10
PenDigits,linear_component_wise_sinusoidal,0.9574 ± 0.0029,0.9574,0.0043,0.0029,8,10
PhonemeSpectra,1d_conv_additive_sinusoidal,0.0281 ± 0.0058,0.0281,0.0086,0.0058,8,10
PhonemeSpectra,1d_conv_circular_conv_isolated_sinusoidal,0.1500 ± 0.0021,0.1500,0.0031,0.0021,8,10
PhonemeSpectra,1d_conv_circular_conv_sinusoidal,0.1523 ± 0.0010,0.1523,0.0014,0.0010,8,10
PhonemeSpectra,1d_conv_component_wise_sinusoidal,0.1509 ± 0.0027,0.1509,0.0040,0.0027,8,10
PhonemeSpectra,linear_additive_isolated_sinusoidal,0.0664 ± 0.0164,0.0664,0.0245,0.0164,8,10
PhonemeSpectra,linear_additive_sinusoidal,0.0503 ± 0.0166,0.0503,0.0247,0.0166,8,10
PhonemeSpectra,linear_circular_conv_sinusoidal,0.0659 ± 0.0039,0.0659,0.0059,0.0039,8,10
PhonemeSpectra,linear_component_wise_sinusoidal,0.0682 ± 0.0026,0.0682,0.0038,0.0026,8,10
RacketSports,1d_conv_additive_sinusoidal,0.2031 ± 0.0640,0.2031,0.0955,0.0640,8,10
RacketSports,1d_conv_circular_conv_isolated_sinusoidal,0.8428 ± 0.0125,0.8428,0.0201,0.0125,9,10
RacketSports,1d_conv_circular_conv_sinusoidal,0.8421 ± 0.0141,0.8421,0.0211,0.0141,8,10
RacketSports,1d_conv_component_wise_sinusoidal,0.7928 ± 0.0791,0.7928,0.1181,0.0791,8,10
RacketSports,linear_additive_isolated_sinusoidal,0.3454 ± 0.1217,0.3454,0.1816,0.1217,8,10
RacketSports,linear_additive_sinusoidal,0.5271 ± 0.1698,0.5271,0.2534,0.1698,8,10
RacketSports,linear_circular_conv_sinusoidal,0.8314 ± 0.0141,0.8314,0.0211,0.0141,8,10
RacketSports,linear_component_wise_sinusoidal,0.8322 ± 0.0108,0.8322,0.0161,0.0108,8,10
SelfRegulationSCP1,1d_conv_additive_sinusoidal,0.6327 ± 0.0804,0.6327,0.1201,0.0804,8,10
SelfRegulationSCP1,1d_conv_circular_conv_isolated_sinusoidal,0.8038 ± 0.0100,0.8038,0.0149,0.0100,8,10
SelfRegulationSCP1,1d_conv_circular_conv_sinusoidal,0.8084 ± 0.0167,0.8084,0.0249,0.0167,8,10
SelfRegulationSCP1,1d_conv_component_wise_sinusoidal,0.5986 ± 0.1535,0.5986,0.2292,0.1535,8,10
SelfRegulationSCP1,linear_additive_isolated_sinusoidal,0.7474 ± 0.0214,0.7474,0.0319,0.0214,8,10
SelfRegulationSCP1,linear_additive_sinusoidal,0.7457 ± 0.0209,0.7457,0.0312,0.0209,8,10
SelfRegulationSCP1,linear_circular_conv_sinusoidal,0.8238 ± 0.0200,0.8238,0.0299,0.0200,8,10
SelfRegulationSCP1,linear_component_wise_sinusoidal,0.7406 ± 0.0667,0.7406,0.0996,0.0667,8,10
SelfRegulationSCP2,1d_conv_additive_sinusoidal,0.5306 ± 0.0082,0.5306,0.0122,0.0082,8,10
SelfRegulationSCP2,1d_conv_circular_conv_isolated_sinusoidal,0.5347 ± 0.0099,0.5347,0.0148,0.0099,8,10
SelfRegulationSCP2,1d_conv_circular_conv_sinusoidal,0.5475 ± 0.0121,0.5475,0.0195,0.0121,9,10
SelfRegulationSCP2,1d_conv_component_wise_sinusoidal,0.5132 ± 0.0140,0.5132,0.0210,0.0140,8,10
SelfRegulationSCP2,linear_additive_isolated_sinusoidal,0.5250 ± 0.0066,0.5250,0.0099,0.0066,8,10
SelfRegulationSCP2,linear_additive_sinusoidal,0.5306 ± 0.0089,0.5306,0.0133,0.0089,8,10
SelfRegulationSCP2,linear_circular_conv_sinusoidal,0.5403 ± 0.0136,0.5403,0.0203,0.0136,8,10
SelfRegulationSCP2,linear_component_wise_sinusoidal,0.5284 ± 0.0231,0.5284,0.0398,0.0231,10,10
SpokenArabicDigits,1d_conv_additive_sinusoidal,0.1030 ± 0.0119,0.1030,0.0178,0.0119,8,10
SpokenArabicDigits,1d_conv_circular_conv_isolated_sinusoidal,0.9694 ± 0.0054,0.9694,0.0080,0.0054,8,10
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,0.9704 ± 0.0025,0.9704,0.0038,0.0025,8,10
SpokenArabicDigits,1d_conv_component_wise_sinusoidal,0.9754 ± 0.0014,0.9754,0.0021,0.0014,8,10
SpokenArabicDigits,linear_additive_isolated_sinusoidal,0.9292 ± 0.0030,0.9292,0.0044,0.0030,8,10
SpokenArabicDigits,linear_additive_sinusoidal,0.9289 ± 0.0048,0.9289,0.0072,0.0048,8,10
SpokenArabicDigits,linear_circular_conv_sinusoidal,0.9702 ± 0.0026,0.9702,0.0039,0.0026,8,10
