dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
SpokenArabicDigits,linear_circular_conv_sinusoidal,9,0.9966,0.0118,0.9917,0.0365,0.0875,0.9786,0.2161,13,10,93,5279,2199,1320,100,28.1
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,9,0.9955,0.0233,0.9856,0.0527,0.1076,0.9659,0.2214,13,10,93,5279,2199,1320,60,18.7
SpokenArabicDigits,linear_additive_sinusoidal,10,0.9775,0.0891,0.9417,0.1714,0.2673,0.9109,0.2149,13,10,93,5279,2199,1320,58,16.23
SpokenArabicDigits,1d_conv_additive_sinusoidal,10,0.9937,0.0224,0.9697,0.0983,0.2495,0.9277,0.2202,13,10,93,5279,2199,1320,100,25.63
SpokenArabicDigits,linear_circular_conv_sinusoidal,10,0.9926,0.0245,0.9902,0.0424,0.1109,0.9713,0.2161,13,10,93,5279,2199,1320,69,20.62
SpokenArabicDigits,1d_conv_circular_conv_sinusoidal,10,0.9935,0.0241,0.9841,0.0544,0.139,0.9582,0.2214,13,10,93,5279,2199,1320,52,16.84
LSST,linear_additive_sinusoidal,1,0.6589,1.0156,0.6159,1.2085,1.271,0.5949,0.1964,6,14,36,1967,2466,492,74,9.49
LSST,1d_conv_additive_sinusoidal,1,0.0188,,0.0163,,,0.0211,0.1981,6,14,36,1967,2466,492,2,3.1
LSST,linear_circular_conv_sinusoidal,1,0.665,0.969,0.5508,1.3824,1.436,0.5442,0.1976,6,14,36,1967,2466,492,94,12.89
LSST,1d_conv_circular_conv_sinusoidal,1,0.635,1.0655,0.5589,1.3326,1.3425,0.5564,0.1995,6,14,36,1967,2466,492,83,11.39
LSST,linear_additive_sinusoidal,2,0.6635,0.9801,0.6037,1.2722,1.3238,0.5868,0.1964,6,14,36,1967,2466,492,67,9.08
LSST,1d_conv_additive_sinusoidal,2,0.0691,,0.0488,,,0.0641,0.1981,6,14,36,1967,2466,492,2,3.07
LSST,linear_circular_conv_sinusoidal,2,0.6212,1.123,0.5467,1.3912,1.3656,0.5386,0.1976,6,14,36,1967,2466,492,60,9.57
LSST,1d_conv_circular_conv_sinusoidal,2,0.6035,1.1595,0.5711,1.4006,1.3455,0.5337,0.1995,6,14,36,1967,2466,492,62,9.82
LSST,linear_additive_sinusoidal,3,0.6492,1.0502,0.6016,1.2272,1.2611,0.588,0.1964,6,14,36,1967,2466,492,65,9.21
LSST,1d_conv_additive_sinusoidal,3,0.0219,,0.0244,,,0.0219,0.1981,6,14,36,1967,2466,492,2,3.11
LSST,linear_circular_conv_sinusoidal,3,0.546,1.3122,0.5366,1.4711,1.4956,0.4903,0.1976,6,14,36,1967,2466,492,51,9.25
