dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
MotorImagery,linear_conv_1_sinc_fpe,0.4788 ± 0.0177,0.4788,0.0264,0.0177,8,10
MotorImagery,linear_conv_2_sinc_fpe,0.4538 ± 0.0035,0.4538,0.0052,0.0035,8,10
MotorImagery,linear_conv_5_sinc_fpe,0.5200 ± 0.0314,0.5200,0.0469,0.0314,8,10
MotorImagery,linear_conv_learnable_random_pe,0.4962 ± 0.0250,0.4962,0.0374,0.0250,8,10
MotorImagery,linear_conv_learnable_sinusoidal,0.5025 ± 0.0293,0.5025,0.0437,0.0293,8,10
MotorImagery,linear_conv_random_pe,0.5000 ± 0.0194,0.5000,0.0312,0.0194,9,10
MotorImagery,linear_conv_sinusoidal,0.5175 ± 0.0297,0.5175,0.0443,0.0297,8,10
MotorImagery,linear_no_pe,0.4750 ± 0.0203,0.4750,0.0302,0.0203,8,10
NATOPS,linear_conv_0_8_gaussian_fpe,0.8889 ± 0.0149,0.8889,0.0222,0.0149,8,10
NATOPS,linear_conv_1_sinc_fpe,0.8674 ± 0.0287,0.8674,0.0429,0.0287,8,10
NATOPS,linear_conv_2_sinc_fpe,0.8907 ± 0.0112,0.8907,0.0180,0.0112,9,10
NATOPS,linear_conv_5_sinc_fpe,0.8091 ± 0.0218,0.8091,0.0325,0.0218,8,10
NATOPS,linear_conv_learnable_random_pe,0.8347 ± 0.0151,0.8347,0.0226,0.0151,8,10
NATOPS,linear_conv_learnable_sinusoidal,0.8728 ± 0.0162,0.8728,0.0261,0.0162,9,10
NATOPS,linear_conv_random_pe,0.7854 ± 0.0300,0.7854,0.0447,0.0300,8,10
NATOPS,linear_conv_sinusoidal,0.8764 ± 0.0196,0.8764,0.0293,0.0196,8,10
NATOPS,linear_no_pe,0.6694 ± 0.1245,0.6694,0.1859,0.1245,8,10
PEMS-SF,linear_conv_0_8_gaussian_fpe,0.7160 ± 0.0236,0.7160,0.0353,0.0236,8,10
PEMS-SF,linear_conv_1_sinc_fpe,0.7088 ± 0.0131,0.7088,0.0195,0.0131,8,10
PEMS-SF,linear_conv_2_sinc_fpe,0.7258 ± 0.0115,0.7258,0.0185,0.0115,9,10
PEMS-SF,linear_conv_5_sinc_fpe,0.7435 ± 0.0179,0.7435,0.0267,0.0179,8,10
PEMS-SF,linear_conv_learnable_random_pe,0.7406 ± 0.0227,0.7406,0.0339,0.0227,8,10
PEMS-SF,linear_conv_learnable_sinusoidal,0.6430 ± 0.1337,0.6430,0.1996,0.1337,8,10
PEMS-SF,linear_conv_random_pe,0.6590 ± 0.1364,0.6590,0.2036,0.1364,8,10
PEMS-SF,linear_conv_sinusoidal,0.7269 ± 0.0173,0.7269,0.0258,0.0173,8,10
PEMS-SF,linear_no_pe,0.2529 ± 0.1477,0.2529,0.2205,0.1477,8,10
PenDigits,linear_conv_0_8_gaussian_fpe,0.9617 ± 0.0026,0.9617,0.0039,0.0026,8,10
PenDigits,linear_conv_1_sinc_fpe,0.9615 ± 0.0014,0.9615,0.0021,0.0014,8,10
PenDigits,linear_conv_2_sinc_fpe,0.9620 ± 0.0016,0.9620,0.0024,0.0016,8,10
PenDigits,linear_conv_5_sinc_fpe,0.9591 ± 0.0023,0.9591,0.0034,0.0023,8,10
