dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
LSST,linear_component_wise_sinusoidal,1967,36,14,0.5938,0.0120,10,0.0086,0.5938 ± 0.0086
Libras,1d_conv_additive_sinusoidal,144,45,15,0.6767,0.0525,10,0.0376,0.6767 ± 0.0376
Libras,1d_conv_circular_conv_sinusoidal,144,45,15,0.6222,0.0377,10,0.0270,0.6222 ± 0.0270
Libras,1d_conv_circular_conv_split_sinusoidal,144,45,15,0.6072,0.0169,7,0.0156,0.6072 ± 0.0156
Libras,1d_conv_component_wise_sinusoidal,144,45,15,0.6211,0.0399,10,0.0285,0.6211 ± 0.0285
Libras,linear_additive_sinusoidal,144,45,15,0.4500,0.0286,8,0.0239,0.4500 ± 0.0239
Libras,linear_additive_split_sinusoidal,144,45,15,0.4074,0.0400,9,0.0307,0.4074 ± 0.0307
Libras,linear_circular_conv_sinusoidal,144,45,15,0.6100,0.0493,10,0.0353,0.6100 ± 0.0353
Libras,linear_component_wise_sinusoidal,144,45,15,0.6306,0.0314,10,0.0225,0.6306 ± 0.0225
MotorImagery,1d_conv_additive_sinusoidal,222,3000,2,0.4988,0.0164,8,0.0137,0.4988 ± 0.0137
MotorImagery,1d_conv_circular_conv_sinusoidal,222,3000,2,0.4689,0.0468,9,0.0359,0.4689 ± 0.0359
MotorImagery,1d_conv_circular_conv_split_sinusoidal,222,3000,2,0.5170,0.0707,10,0.0506,0.5170 ± 0.0506
MotorImagery,1d_conv_component_wise_sinusoidal,222,3000,2,0.5544,0.0274,9,0.0211,0.5544 ± 0.0211
MotorImagery,linear_additive_sinusoidal,222,3000,2,0.5050,0.0687,10,0.0491,0.5050 ± 0.0491
MotorImagery,linear_additive_split_sinusoidal,222,3000,2,0.5110,0.0547,10,0.0391,0.5110 ± 0.0391
MotorImagery,linear_circular_conv_sinusoidal,222,3000,2,0.4689,0.0162,9,0.0124,0.4689 ± 0.0124
MotorImagery,linear_component_wise_sinusoidal,222,3000,2,0.4956,0.0448,9,0.0344,0.4956 ± 0.0344
NATOPS,1d_conv_additive_sinusoidal,144,51,6,0.7938,0.0251,9,0.0193,0.7938 ± 0.0193
NATOPS,1d_conv_circular_conv_sinusoidal,144,51,6,0.8400,0.0465,10,0.0332,0.8400 ± 0.0332
NATOPS,1d_conv_circular_conv_split_sinusoidal,144,51,6,0.8367,0.0542,10,0.0388,0.8367 ± 0.0388
NATOPS,1d_conv_component_wise_sinusoidal,144,51,6,0.8772,0.0225,9,0.0173,0.8772 ± 0.0173
NATOPS,linear_additive_sinusoidal,144,51,6,0.7361,0.0332,10,0.0237,0.7361 ± 0.0237
NATOPS,linear_additive_split_sinusoidal,144,51,6,0.7439,0.0557,10,0.0398,0.7439 ± 0.0398
NATOPS,linear_circular_conv_sinusoidal,144,51,6,0.8500,0.0338,10,0.0242,0.8500 ± 0.0242
NATOPS,linear_component_wise_sinusoidal,144,51,6,0.8636,0.0314,9,0.0242,0.8636 ± 0.0242
PEMS-SF,1d_conv_additive_sinusoidal,213,144,7,0.5827,0.0550,10,0.0394,0.5827 ± 0.0394
PEMS-SF,1d_conv_circular_conv_sinusoidal,213,144,7,0.7520,0.0261,10,0.0187,0.7520 ± 0.0187
PEMS-SF,1d_conv_circular_conv_split_sinusoidal,213,144,7,0.7457,0.0403,10,0.0289,0.7457 ± 0.0289
