dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
FingerMovements,linear_conv_learnable_random_pe,252,50,2,0.5138,0.0092,8,0.0077,0.5138 ± 0.0077
FingerMovements,linear_conv_learnable_sinusoidal,252,50,2,0.5090,0.0412,10,0.0295,0.5090 ± 0.0295
FingerMovements,linear_conv_random_pe,252,50,2,0.4980,0.0385,10,0.0276,0.4980 ± 0.0276
FingerMovements,linear_conv_sinusoidal,252,50,2,0.5000,0.0540,10,0.0386,0.5000 ± 0.0386
FingerMovements,linear_no_pe,252,50,2,0.5129,0.0138,7,0.0128,0.5129 ± 0.0128
HandMovementDirection,linear_conv_0_8_gaussian_fpe,128,400,4,0.3946,0.0580,10,0.0415,0.3946 ± 0.0415
HandMovementDirection,linear_conv_1_sinc_fpe,128,400,4,0.4054,0.0377,10,0.0270,0.4054 ± 0.0270
HandMovementDirection,linear_conv_2_sinc_fpe,128,400,4,0.4446,0.0415,10,0.0297,0.4446 ± 0.0297
HandMovementDirection,linear_conv_5_sinc_fpe,128,400,4,0.5766,0.0262,9,0.0201,0.5766 ± 0.0201
HandMovementDirection,linear_conv_learnable_random_pe,128,400,4,0.4865,0.0662,10,0.0474,0.4865 ± 0.0474
HandMovementDirection,linear_conv_learnable_sinusoidal,128,400,4,0.4527,0.0424,10,0.0303,0.4527 ± 0.0303
HandMovementDirection,linear_conv_random_pe,128,400,4,0.3797,0.0766,10,0.0548,0.3797 ± 0.0548
HandMovementDirection,linear_conv_sinusoidal,128,400,4,0.4730,0.0351,9,0.0270,0.4730 ± 0.0270
HandMovementDirection,linear_no_pe,128,400,4,0.2703,0.0905,10,0.0648,0.2703 ± 0.0648
Handwriting,linear_conv_0_8_gaussian_fpe,120,152,26,0.1284,0.0193,9,0.0148,0.1284 ± 0.0148
Handwriting,linear_conv_1_sinc_fpe,120,152,26,0.1354,0.0279,10,0.0200,0.1354 ± 0.0200
Handwriting,linear_conv_2_sinc_fpe,120,152,26,0.1351,0.0413,10,0.0295,0.1351 ± 0.0295
Handwriting,linear_conv_5_sinc_fpe,120,152,26,0.1632,0.0427,10,0.0305,0.1632 ± 0.0305
Handwriting,linear_conv_learnable_random_pe,120,152,26,0.1385,0.0214,10,0.0153,0.1385 ± 0.0153
