dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
InsectWingbeat,linear_component_wise_sinusoidal,6,0.6637,0.7372,0.9663,0.6514,0.995,0.6368,0.7716,200,10,22,20000,25000,5000,22,169.64
InsectWingbeat,1d_conv_component_wise_sinusoidal,6,0.5804,0.7638,1.1313,0.6172,1.1591,0.6104,0.8708,200,10,22,20000,25000,5000,19,156.14
InsectWingbeat,linear_circular_conv_sinusoidal,6,0.7811,0.6925,1.0823,0.611,1.092,0.6068,0.7716,200,10,22,20000,25000,5000,41,273.54
InsectWingbeat,1d_conv_circular_conv_sinusoidal,6,,,,,2.3842,0.1002,0.8705,200,10,22,20000,25000,5000,1,56.58
InsectWingbeat,linear_additive_sinusoidal,7,,,,,,0.1051,0.7701,200,10,22,20000,25000,5000,1,53.83
InsectWingbeat,1d_conv_additive_sinusoidal,7,,,,,,0.1045,0.8694,200,10,22,20000,25000,5000,1,54.68
InsectWingbeat,linear_component_wise_sinusoidal,7,0.6252,0.7538,0.9843,0.6498,0.9883,0.6515,0.7716,200,10,22,20000,25000,5000,25,185.28
InsectWingbeat,1d_conv_component_wise_sinusoidal,7,0.6416,0.7369,1.0986,0.6236,1.1355,0.6086,0.8708,200,10,22,20000,25000,5000,18,149.07
InsectWingbeat,linear_circular_conv_sinusoidal,7,0.7933,0.6818,1.1061,0.603,1.1263,0.594,0.7716,200,10,22,20000,25000,5000,39,262.57
InsectWingbeat,1d_conv_circular_conv_sinusoidal,7,0.6736,0.728,1.2342,0.5852,1.2317,0.5782,0.8708,200,10,22,20000,25000,5000,32,228.57
InsectWingbeat,linear_additive_sinusoidal,8,,,,,,0.0945,0.7701,200,10,22,20000,25000,5000,1,53.55
InsectWingbeat,1d_conv_additive_sinusoidal,8,,,,,,0.1011,0.8694,200,10,22,20000,25000,5000,1,54.61
InsectWingbeat,linear_component_wise_sinusoidal,8,0.591,0.7672,1.0292,0.6526,1.0558,0.6442,0.7716,200,10,22,20000,25000,5000,25,183.4
InsectWingbeat,1d_conv_component_wise_sinusoidal,8,0.5409,0.7853,1.1612,0.617,1.1676,0.6156,0.8708,200,10,22,20000,25000,5000,18,149.27
InsectWingbeat,linear_circular_conv_sinusoidal,8,0.7435,0.7051,1.1369,0.6076,1.1789,0.5924,0.7716,200,10,22,20000,25000,5000,39,257.66
InsectWingbeat,1d_conv_circular_conv_sinusoidal,8,0.7202,0.7087,1.2018,0.5884,1.2116,0.5714,0.8708,200,10,22,20000,25000,5000,29,209.69
InsectWingbeat,linear_additive_sinusoidal,9,,,,,,0.1016,0.7701,200,10,22,20000,25000,5000,1,54.56
InsectWingbeat,1d_conv_additive_sinusoidal,9,,,,,,0.0998,0.8694,200,10,22,20000,25000,5000,1,55.74
InsectWingbeat,linear_component_wise_sinusoidal,9,0.5647,0.7797,1.0102,0.661,1.0383,0.6442,0.7716,200,10,22,20000,25000,5000,28,199.5
InsectWingbeat,1d_conv_component_wise_sinusoidal,9,0.562,0.7764,1.1448,0.6226,1.1605,0.6102,0.8708,200,10,22,20000,25000,5000,18,150.89
InsectWingbeat,linear_circular_conv_sinusoidal,9,,,,,2.3838,0.0969,0.7713,200,10,22,20000,25000,5000,1,55.35
InsectWingbeat,1d_conv_circular_conv_sinusoidal,9,0.8286,0.6673,1.1819,0.5854,1.1874,0.5672,0.8708,200,10,22,20000,25000,5000,34,235.72
InsectWingbeat,linear_additive_sinusoidal,10,,,,,,0.0915,0.7701,200,10,22,20000,25000,5000,1,54.46
InsectWingbeat,1d_conv_additive_sinusoidal,10,,,,,,0.0938,0.8694,200,10,22,20000,25000,5000,1,53.45
InsectWingbeat,linear_component_wise_sinusoidal,10,,,,,2.3919,0.0968,0.7713,200,10,22,20000,25000,5000,1,56.66
InsectWingbeat,1d_conv_component_wise_sinusoidal,10,0.5011,0.7979,1.1415,0.6346,1.1885,0.62,0.8708,200,10,22,20000,25000,5000,20,160.44
InsectWingbeat,linear_circular_conv_sinusoidal,10,0.7982,0.6834,1.0882,0.6064,1.1254,0.589,0.7716,200,10,22,20000,25000,5000,39,260.2
InsectWingbeat,1d_conv_circular_conv_sinusoidal,10,0.7272,0.7083,1.2495,0.5756,1.2613,0.5677,0.8708,200,10,22,20000,25000,5000,31,221.53
PenDigits,linear_additive_sinusoidal,1,0.0791,0.9728,0.0574,0.9853,0.1214,0.9651,0.7019,2,10,8,5995,3498,1499,69,140.02
PenDigits,1d_conv_additive_sinusoidal,1,,,,,2.2963,0.1018,0.7043,2,10,8,5995,3498,1499,1,49.44
PenDigits,linear_component_wise_sinusoidal,1,0.0607,0.9797,0.0854,0.982,0.1791,0.954,0.7031,2,10,8,5995,3498,1499,58,130.64
PenDigits,1d_conv_component_wise_sinusoidal,1,0.0147,0.9958,0.0358,0.994,0.0606,0.9849,0.7056,2,10,8,5995,3498,1499,43,113.77
PenDigits,linear_circular_conv_sinusoidal,1,0.0287,0.9903,0.058,0.9866,0.1524,0.9614,0.7031,2,10,8,5995,3498,1499,77,160.96
PenDigits,1d_conv_circular_conv_sinusoidal,1,0.0234,0.9923,0.0502,0.992,0.1118,0.9731,0.7056,2,10,8,5995,3498,1499,34,97.2
PenDigits,linear_additive_sinusoidal,2,0.0618,0.9768,0.0652,0.9846,0.1153,0.9711,0.7019,2,10,8,5995,3498,1499,85,165.49
PenDigits,1d_conv_additive_sinusoidal,2,,,,,2.346,0.0864,0.7043,2,10,8,5995,3498,1499,1,46.9
PenDigits,linear_component_wise_sinusoidal,2,0.0771,0.9728,0.0688,0.9793,0.1632,0.9585,0.7031,2,10,8,5995,3498,1499,46,115.61
PenDigits,1d_conv_component_wise_sinusoidal,2,0.0173,0.9939,0.0276,0.996,0.0686,0.9843,0.7056,2,10,8,5995,3498,1499,54,123.7
PenDigits,linear_circular_conv_sinusoidal,2,0.037,0.9905,0.0725,0.986,0.1683,0.962,0.7031,2,10,8,5995,3498,1499,86,174.35
PenDigits,1d_conv_circular_conv_sinusoidal,2,0.0228,0.9928,0.0419,0.992,0.1154,0.974,0.7056,2,10,8,5995,3498,1499,34,100.48
PenDigits,linear_additive_sinusoidal,3,0.0488,0.985,0.0536,0.986,0.1567,0.9654,0.7019,2,10,8,5995,3498,1499,100,188.65
PenDigits,1d_conv_additive_sinusoidal,3,0.0195,0.994,0.038,0.9933,0.0478,0.9868,0.7045,2,10,8,5995,3498,1499,46,118.01
PenDigits,linear_component_wise_sinusoidal,3,0.057,0.9811,0.0621,0.982,0.1653,0.9574,0.7031,2,10,8,5995,3498,1499,51,124.02
PenDigits,1d_conv_component_wise_sinusoidal,3,0.0235,0.993,0.0335,0.9953,0.0551,0.9854,0.7056,2,10,8,5995,3498,1499,40,106.38
PenDigits,linear_circular_conv_sinusoidal,3,0.0467,0.9853,0.0774,0.982,0.1767,0.958,0.7031,2,10,8,5995,3498,1499,60,135.69
PenDigits,1d_conv_circular_conv_sinusoidal,3,0.0161,0.9945,0.0396,0.9947,0.0743,0.9825,0.7056,2,10,8,5995,3498,1499,54,129.41
PenDigits,linear_additive_sinusoidal,4,0.0609,0.9791,0.044,0.988,0.0973,0.9728,0.7019,2,10,8,5995,3498,1499,67,146.1
PenDigits,1d_conv_additive_sinusoidal,4,0.0194,0.9942,0.0335,0.9953,0.0677,0.982,0.7045,2,10,8,5995,3498,1499,58,127.38
PenDigits,linear_component_wise_sinusoidal,4,0.0444,0.9865,0.0578,0.9854,0.1321,0.966,0.7031,2,10,8,5995,3498,1499,72,155.22
PenDigits,1d_conv_component_wise_sinusoidal,4,0.0111,0.9968,0.0247,0.9974,0.0719,0.9834,0.7056,2,10,8,5995,3498,1499,48,118.31
PenDigits,linear_circular_conv_sinusoidal,4,0.0623,0.98,0.0762,0.9793,0.1943,0.9531,0.7031,2,10,8,5995,3498,1499,47,117.75
PenDigits,1d_conv_circular_conv_sinusoidal,4,0.0236,0.9928,0.0453,0.9934,0.1045,0.9757,0.7056,2,10,8,5995,3498,1499,46,115.83
