dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
PenDigits,linear_conv_adaptive_sin_pe,2,0.9855,0.0482,0.9846,0.0681,0.131,0.9654,0.2046,2,10,8,5995,3498,1499,83,51.27
PenDigits,linear_rope,2,0.918,0.2541,0.928,0.2404,0.2976,0.9014,0.2113,2,10,8,5995,3498,1499,52,22.6
PenDigits,convtran,2,0.9958,0.0171,0.992,0.0417,0.0722,0.98,0.3535,2,10,8,5995,3498,1499,42,18.1
PenDigits,linear_mla,2,0.9733,0.0765,0.9693,0.1123,0.1812,0.9465,0.2399,2,10,8,5995,3498,1499,79,34.63
PenDigits,linear_conv_adaptive_sin_pe,3,0.98,0.0595,0.982,0.0768,0.1494,0.9651,0.2046,2,10,8,5995,3498,1499,68,44.49
PenDigits,linear_rope,3,0.9144,0.2489,0.9266,0.2496,0.3639,0.8862,0.2113,2,10,8,5995,3498,1499,76,29.8
PenDigits,convtran,3,0.9972,0.0122,0.9934,0.0421,0.0619,0.9834,0.3535,2,10,8,5995,3498,1499,47,18.91
PenDigits,linear_mla,3,0.9691,0.0903,0.972,0.0993,0.2474,0.9371,0.2399,2,10,8,5995,3498,1499,76,33.36
PenDigits,linear_conv_adaptive_sin_pe,4,0.9775,0.0671,0.9806,0.0763,0.1513,0.9611,0.2046,2,10,8,5995,3498,1499,61,40.35
PenDigits,linear_rope,4,0.9144,0.2617,0.9273,0.2622,0.3084,0.9014,0.2113,2,10,8,5995,3498,1499,63,25.61
PenDigits,convtran,4,0.994,0.021,0.992,0.0437,0.0686,0.9809,0.3535,2,10,8,5995,3498,1499,36,15.54
PenDigits,linear_mla,4,0.9737,0.076,0.9706,0.1003,0.2188,0.9388,0.2399,2,10,8,5995,3498,1499,84,34.75
PenDigits,linear_conv_adaptive_sin_pe,5,0.9806,0.0576,0.9887,0.065,0.1458,0.9617,0.2046,2,10,8,5995,3498,1499,82,50.46
PenDigits,linear_rope,5,0.9178,0.2327,0.9333,0.2422,0.3142,0.9028,0.2113,2,10,8,5995,3498,1499,74,28.99
PenDigits,convtran,5,0.9941,0.02,0.9933,0.0394,0.0691,0.982,0.3535,2,10,8,5995,3498,1499,48,19.37
PenDigits,linear_mla,5,0.9758,0.0712,0.9747,0.0927,0.2199,0.942,0.2399,2,10,8,5995,3498,1499,100,40.11
PenDigits,linear_conv_adaptive_sin_pe,6,0.9791,0.0587,0.9846,0.0728,0.166,0.9603,0.2046,2,10,8,5995,3498,1499,79,48.82
PenDigits,linear_rope,6,0.8939,0.3186,0.9146,0.2743,0.3924,0.873,0.2113,2,10,8,5995,3498,1499,46,19.72
PenDigits,convtran,6,0.9937,0.0193,0.994,0.0407,0.0577,0.9849,0.3535,2,10,8,5995,3498,1499,41,17.48
PenDigits,linear_mla,6,0.9808,0.0565,0.9713,0.1078,0.2122,0.9474,0.2399,2,10,8,5995,3498,1499,86,34.75
PenDigits,linear_conv_adaptive_sin_pe,7,0.9832,0.0507,0.9847,0.0736,0.1498,0.9637,0.2046,2,10,8,5995,3498,1499,84,52.73
PenDigits,linear_rope,7,0.8969,0.3043,0.9226,0.2617,0.3177,0.9005,0.2113,2,10,8,5995,3498,1499,58,24.15
PenDigits,convtran,7,0.994,0.0174,0.994,0.0334,0.0591,0.9852,0.3535,2,10,8,5995,3498,1499,54,21.95
PenDigits,linear_mla,7,0.9798,0.0693,0.9733,0.1052,0.1912,0.9506,0.2399,2,10,8,5995,3498,1499,81,34.52
PenDigits,linear_conv_adaptive_sin_pe,8,0.9845,0.0493,0.9867,0.0704,0.1739,0.9623,0.2046,2,10,8,5995,3498,1499,95,59.43
PenDigits,linear_rope,8,0.9244,0.2347,0.9453,0.1878,0.2749,0.9096,0.2113,2,10,8,5995,3498,1499,84,32.56
PenDigits,convtran,8,0.9945,0.0156,0.9946,0.0418,0.0616,0.9846,0.3535,2,10,8,5995,3498,1499,39,16.19
PenDigits,linear_mla,8,0.9773,0.0733,0.9693,0.1153,0.1794,0.9477,0.2399,2,10,8,5995,3498,1499,86,36.6
PenDigits,linear_conv_adaptive_sin_pe,9,0.977,0.0665,0.9786,0.0876,0.1516,0.9603,0.2046,2,10,8,5995,3498,1499,59,39.53
PenDigits,linear_rope,9,0.9166,0.244,0.9293,0.2335,0.285,0.9031,0.2113,2,10,8,5995,3498,1499,52,21.72
PenDigits,convtran,9,0.9916,0.0261,0.994,0.0388,0.065,0.9829,0.3535,2,10,8,5995,3498,1499,31,14.56
PenDigits,linear_mla,9,0.9716,0.0811,0.976,0.0928,0.2151,0.9445,0.2399,2,10,8,5995,3498,1499,83,34.0
PenDigits,linear_conv_adaptive_sin_pe,10,0.9815,0.0488,0.9853,0.0692,0.1748,0.9606,0.2046,2,10,8,5995,3498,1499,86,53.24
PenDigits,linear_rope,10,0.9093,0.2689,0.9233,0.2501,0.3055,0.9054,0.2113,2,10,8,5995,3498,1499,45,19.17
PenDigits,convtran,10,0.9958,0.0137,0.996,0.0347,0.0616,0.9814,0.3535,2,10,8,5995,3498,1499,54,21.52
PenDigits,linear_mla,10,0.9616,0.116,0.962,0.1359,0.2318,0.9363,0.2399,2,10,8,5995,3498,1499,56,25.95
SpokenArabicDigits,linear_conv_adaptive_sin_pe,1,0.9981,0.0097,0.9925,0.0364,0.0732,0.9746,0.2327,13,10,93,5279,2199,1320,50,37.52
SpokenArabicDigits,linear_rope,1,0.9962,0.0154,0.9864,0.0573,0.0936,0.9677,0.2393,13,10,93,5279,2199,1320,81,36.92
SpokenArabicDigits,convtran,1,0.9934,0.0249,0.9902,0.0387,0.1418,0.9568,1.1371,13,10,93,5279,2199,1320,48,26.46
SpokenArabicDigits,linear_mla,1,0.9972,0.0143,0.9887,0.0514,0.1202,0.9668,0.2679,13,10,93,5279,2199,1320,67,34.16
SpokenArabicDigits,linear_conv_adaptive_sin_pe,2,1.0,0.0021,0.9924,0.0281,0.0738,0.9782,0.2327,13,10,93,5279,2199,1320,68,49.44
SpokenArabicDigits,linear_rope,2,0.9968,0.0165,0.9902,0.0422,0.1007,0.9686,0.2393,13,10,93,5279,2199,1320,78,36.09
SpokenArabicDigits,convtran,2,0.9917,0.0316,0.9871,0.0537,0.1222,0.9646,1.1371,13,10,93,5279,2199,1320,46,27.02
SpokenArabicDigits,linear_mla,2,0.9987,0.0075,0.9894,0.0485,0.1646,0.9577,0.2679,13,10,93,5279,2199,1320,92,44.45
SpokenArabicDigits,linear_conv_adaptive_sin_pe,3,0.997,0.0161,0.9925,0.0268,0.0843,0.9732,0.2327,13,10,93,5279,2199,1320,41,33.65
SpokenArabicDigits,linear_rope,3,0.997,0.0156,0.9856,0.0519,0.1162,0.9618,0.2393,13,10,93,5279,2199,1320,74,33.97
SpokenArabicDigits,convtran,3,0.9971,0.0126,0.9902,0.0358,0.1147,0.9668,1.1371,13,10,93,5279,2199,1320,63,32.89
SpokenArabicDigits,linear_mla,3,0.993,0.0333,0.9826,0.0582,0.1384,0.9586,0.2679,13,10,93,5279,2199,1320,45,25.24
SpokenArabicDigits,linear_conv_adaptive_sin_pe,4,0.9983,0.0084,0.9924,0.037,0.0683,0.9759,0.2327,13,10,93,5279,2199,1320,40,32.71
SpokenArabicDigits,linear_rope,4,0.9956,0.0186,0.9849,0.0444,0.11,0.9691,0.2393,13,10,93,5279,2199,1320,55,26.83
SpokenArabicDigits,convtran,4,0.99,0.0275,0.9856,0.0553,0.1474,0.9527,1.1371,13,10,93,5279,2199,1320,42,24.45
SpokenArabicDigits,linear_mla,4,0.9975,0.0181,0.9917,0.0337,0.0885,0.9727,0.2679,13,10,93,5279,2199,1320,61,31.67
SpokenArabicDigits,linear_conv_adaptive_sin_pe,5,0.999,0.007,0.9894,0.0423,0.0688,0.9832,0.2327,13,10,93,5279,2199,1320,46,36.18
SpokenArabicDigits,linear_rope,5,0.996,0.0162,0.9894,0.0511,0.1253,0.9632,0.2393,13,10,93,5279,2199,1320,72,33.05
SpokenArabicDigits,convtran,5,0.9985,0.0096,0.9917,0.0314,0.1299,0.9673,1.1371,13,10,93,5279,2199,1320,68,35.83
SpokenArabicDigits,linear_mla,5,0.9996,0.0089,0.9924,0.0228,0.1081,0.9641,0.2679,13,10,93,5279,2199,1320,67,34.24
SpokenArabicDigits,linear_conv_adaptive_sin_pe,6,0.9998,0.005,0.9925,0.0344,0.0583,0.985,0.2327,13,10,93,5279,2199,1320,69,49.53
SpokenArabicDigits,linear_rope,6,0.9928,0.0266,0.9864,0.0535,0.1407,0.9564,0.2393,13,10,93,5279,2199,1320,69,31.92
SpokenArabicDigits,convtran,6,0.9934,0.0204,0.9871,0.0413,0.1127,0.9668,1.1371,13,10,93,5279,2199,1320,56,30.9
SpokenArabicDigits,linear_mla,6,0.9954,0.0201,0.9894,0.0369,0.132,0.9609,0.2679,13,10,93,5279,2199,1320,68,34.88
SpokenArabicDigits,linear_conv_adaptive_sin_pe,7,0.9988,0.009,0.9856,0.0518,0.0709,0.9745,0.2327,13,10,93,5279,2199,1320,52,28.6
SpokenArabicDigits,linear_rope,7,0.9947,0.0252,0.9879,0.0565,0.1258,0.959,0.2393,13,10,93,5279,2199,1320,57,20.12
SpokenArabicDigits,convtran,7,0.9911,0.0292,0.9811,0.0562,0.1224,0.9586,1.1371,13,10,93,5279,2199,1320,47,23.15
SpokenArabicDigits,linear_mla,7,0.9981,0.0102,0.9894,0.039,0.1657,0.9536,0.2679,13,10,93,5279,2199,1320,85,32.43
SpokenArabicDigits,linear_conv_adaptive_sin_pe,8,0.9985,0.012,0.994,0.0415,0.064,0.9778,0.2327,13,10,93,5279,2199,1320,65,33.17
SpokenArabicDigits,linear_rope,8,0.9981,0.011,0.9902,0.0492,0.1025,0.9696,0.2393,13,10,93,5279,2199,1320,85,27.1
SpokenArabicDigits,convtran,8,0.9979,0.0086,0.9887,0.0502,0.1387,0.9586,1.1371,13,10,93,5279,2199,1320,85,37.09
SpokenArabicDigits,linear_mla,8,0.9998,0.0036,0.9871,0.0389,0.0986,0.9681,0.2679,13,10,93,5279,2199,1320,100,36.17
SpokenArabicDigits,linear_conv_adaptive_sin_pe,9,0.996,0.0169,0.9924,0.037,0.0569,0.9831,0.2327,13,10,93,5279,2199,1320,43,24.65
SpokenArabicDigits,linear_rope,9,0.9952,0.0205,0.9841,0.0578,0.1372,0.96,0.2393,13,10,93,5279,2199,1320,52,19.23
SpokenArabicDigits,convtran,9,0.9969,0.0129,0.9917,0.0421,0.1393,0.9577,1.1371,13,10,93,5279,2199,1320,63,29.62
SpokenArabicDigits,linear_mla,9,0.9972,0.0147,0.9909,0.0406,0.1544,0.9591,0.2679,13,10,93,5279,2199,1320,60,24.44
SpokenArabicDigits,linear_conv_adaptive_sin_pe,10,0.9989,0.0068,0.9894,0.051,0.0622,0.9786,0.2327,13,10,93,5279,2199,1320,66,36.57
SpokenArabicDigits,linear_rope,10,0.9964,0.0194,0.9856,0.0514,0.1025,0.9668,0.2393,13,10,93,5279,2199,1320,65,21.94
SpokenArabicDigits,convtran,10,0.9977,0.0093,0.9902,0.0472,0.154,0.9581,1.1371,13,10,93,5279,2199,1320,66,30.03
SpokenArabicDigits,linear_mla,10,0.9994,0.004,0.9917,0.0373,0.0968,0.9682,0.2679,13,10,93,5279,2199,1320,100,36.51
LSST,linear_conv_adaptive_sin_pe,1,0.6797,0.9355,0.5833,1.3065,1.2977,0.5718,0.2142,6,14,36,1967,2466,492,59,16.83
LSST,linear_rope,1,0.6823,0.931,0.626,1.1904,1.1803,0.6071,0.2209,6,14,36,1967,2466,492,62,9.69
LSST,convtran,1,0.0148,,0.0183,,,0.0114,0.623,6,14,36,1967,2466,492,2,3.98
LSST,linear_mla,1,0.6858,0.92,0.6118,1.1888,1.2215,0.6046,0.2495,6,14,36,1967,2466,492,85,12.9
LSST,linear_conv_adaptive_sin_pe,2,0.6548,1.019,0.5833,1.276,1.2791,0.5787,0.2142,6,14,36,1967,2466,492,55,16.43
LSST,linear_rope,2,0.6503,1.0541,0.6321,1.1533,1.194,0.6034,0.2209,6,14,36,1967,2466,492,58,16.21
LSST,convtran,2,0.0092,,0.0041,3.2207,,0.002,0.623,6,14,36,1967,2466,492,26,10.56
LSST,linear_mla,2,0.6772,0.9643,0.6179,1.185,1.2134,0.5985,0.2495,6,14,36,1967,2466,492,68,19.23
LSST,linear_conv_adaptive_sin_pe,3,0.6452,1.0474,0.5915,1.3091,1.3279,0.5564,0.2142,6,14,36,1967,2466,492,71,28.05
LSST,linear_rope,3,0.6853,0.8912,0.622,1.2159,1.1901,0.6168,0.2209,6,14,36,1967,2466,492,61,16.96
LSST,convtran,3,0.0656,,0.0589,3.5591,,0.0722,0.6232,6,14,36,1967,2466,492,51,14.47
LSST,linear_mla,3,0.7123,0.9166,0.624,1.1599,1.1853,0.6127,0.2495,6,14,36,1967,2466,492,66,19.25
LSST,linear_conv_adaptive_sin_pe,4,0.6715,0.9412,0.6159,1.3084,1.3251,0.5697,0.2142,6,14,36,1967,2466,492,66,27.87
LSST,linear_rope,4,0.6822,0.9383,0.6321,1.1778,1.1985,0.6059,0.2209,6,14,36,1967,2466,492,61,17.24
LSST,convtran,4,0.1225,,0.0732,,,0.0734,0.623,6,14,36,1967,2466,492,2,6.56
LSST,linear_mla,4,0.7082,0.8612,0.6443,1.1673,1.2001,0.6046,0.2495,6,14,36,1967,2466,492,89,22.39
LSST,linear_conv_adaptive_sin_pe,5,0.6808,0.9379,0.6118,1.2355,1.2723,0.5645,0.2142,6,14,36,1967,2466,492,66,27.94
LSST,linear_rope,5,0.6848,0.9397,0.6199,1.1799,1.1763,0.6079,0.2209,6,14,36,1967,2466,492,61,17.96
LSST,convtran,5,0.0493,,0.0203,2.953,,0.0162,0.623,6,14,36,1967,2466,492,19,9.58
